CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
89888,15331,2032,357,755,278,26,18,56,575,448,286,610,356,1341,583,7274,336
90356,50787,13940,5519,2176,5499,89,9,48,0,3636,4715,2674,1830,853,2590,1133,6076
90605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90669,93948,20551,7620,2789,6632,66,4,42,18,8525,6629,3649,6820,6432,4789,3120,16262
91867,21348,3284,12,8,64,911,5,0,561,4,5,61,120,5818,59,10406,30
92146,3569,386,0,0,2,103,0,0,28,2,0,0,3,396,5,2643,1
92379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92631,34566,8980,1150,767,1279,0,3,0,9,1560,1022,962,2067,2451,920,10310,3086
191211,37809,16321,1225,479,622,9,4,0,31,1381,1113,460,1076,1551,560,11207,1770
93129,26992,7145,469,63,1042,331,6,2,212,265,107,136,1368,4665,544,10477,160
191364,3185,462,31,81,34,42,13,2,89,63,32,23,181,988,72,970,102
94432,49524,15724,8422,577,2570,199,6,13,3,3400,489,1199,1200,6374,1414,5644,2290
95793,110126,35732,8332,1452,7068,25,58,133,193,7447,4354,1540,4661,10921,3173,18964,6073
161574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192232,401407,150466,41849,14254,19668,608,76,193,65,29536,27068,13156,18491,16920,12074,24374,32609
96508,91997,27638,10005,2000,5884,136,6,77,25,9622,8254,3157,3325,3434,2705,6103,9626
96539,11696,3463,163,16,617,195,1,0,77,138,0,0,258,1908,68,4789,3
192282,192167,63827,15028,5455,12974,587,83,95,379,12519,6377,3207,11546,12320,6297,19425,22048
609982,135475,33895,21421,4402,15663,142,17,17,11,12147,5900,3921,10065,6197,5819,4767,11091
97434,140706,33949,15705,6212,9054,516,53,105,16,14907,9552,6215,12505,7746,4173,7000,12998
97452,98204,24272,12673,5271,6309,63,17,16,12,8028,2963,3916,8881,7727,4881,5526,7649
97478,37468,5879,332,827,656,856,3,17,560,423,716,645,1138,8964,879,13222,2351
97490,137755,57918,12483,73,9465,5,4,3,15,10878,1159,383,2117,6607,1800,27898,6947
97502,48891,22679,4009,235,2819,45,0,0,1,701,94,283,2931,1789,616,12334,355
97609,44914,5633,3170,2827,2696,612,16,58,494,3948,3585,2003,3368,3365,1948,3194,7997
97947,325244,106191,34054,9844,5558,1024,31,10,1,38180,8708,8763,16209,62420,3718,17188,13345
192608,663,92,5,2,4,0,0,0,0,415,26,2,27,14,14,14,48
98910,23194,4403,612,70,781,5,2,0,145,107,27,85,1169,7219,1668,6614,287
98921,316874,115072,41423,5700,17077,20,27,63,1,34971,16019,6963,15984,15731,5154,10867,31802
99473,116507,34403,13690,6180,7072,231,52,108,3,10604,5270,5101,8086,7471,5645,7750,4841
192773,725067,226002,73227,26009,51390,7529,279,469,1493,50258,29036,18793,38610,50155,26138,62460,63219
100109,19266,10835,119,21,23,338,0,0,0,44,11,16,65,3811,6,3933,44
100149,24217,8110,2225,680,933,10,19,7,0,1626,462,365,1202,2246,495,3708,2129
100330,3941,893,103,102,140,17,0,0,6,235,119,72,354,945,207,286,462
101188,91357,39926,11625,37,2804,51,0,0,1,5311,308,504,2020,8479,318,17807,2166
193274,19018,2631,882,701,955,256,4,0,6,1350,1070,716,2679,2338,1029,1158,3243
102352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102845,45063,24648,3838,7,27,81,0,0,6,658,4,10,319,4003,13,11404,45
161526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193498,457580,135690,48572,20555,34262,3381,114,142,454,32356,15441,13634,37186,32451,16418,30255,36669
446973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193623,139076,26085,14266,8063,15984,317,131,138,345,10140,5509,5623,12074,9656,6940,11376,12429
610646,110956,21335,14768,7932,14018,0,96,172,6,9442,6370,4720,5952,2512,6696,584,16353
104173,142704,43258,19834,7959,11848,317,21,44,13,8349,5047,5217,16065,6687,5195,962,11888
193693,263616,91243,9181,102,4075,4721,1,1,1231,3624,1209,461,9054,25992,473,109406,2842
104409,34647,7022,6,4,3,1981,0,0,278,4,2,2,10,7293,8,18026,8
193740,323,126,5,2,6,0,0,0,0,46,4,1,6,40,4,26,57
610995,55509,25469,5464,98,1429,1149,0,3,6,4447,654,1034,1373,3419,402,7038,3524
104903,79346,19061,7100,3946,8202,195,25,82,32,5387,6273,3422,6193,5162,4227,2437,7602
105148,4129,1588,793,4,126,22,0,0,0,565,90,89,128,337,39,293,55
105266,9192,2688,1690,43,246,7,2,10,0,1456,796,184,258,460,135,797,420
106396,9172,2510,977,51,819,22,0,8,0,825,351,279,315,950,282,903,880
106565,26757,10577,11,10,7,560,0,0,7,14,6,10,387,5472,9,9668,19
106575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106828,25944,7249,1708,895,2995,1160,5,1,16,569,397,813,2264,1957,1312,2365,2238
194420,305,52,2,6,5,2,0,0,1,66,3,2,14,71,6,16,59
107880,65046,19320,7793,1198,4618,364,2,3,1,7727,2196,2183,3947,4721,2744,4280,3949
108027,86650,23121,9397,5275,8615,918,27,67,28,6834,3670,3359,6397,3469,4615,3622,7236
108103,23970,12369,4276,33,98,9,0,2,0,725,7,6,155,1801,35,4408,46
194807,110,23,4,7,8,0,0,0,1,7,1,0,8,15,10,12,14
109422,21089,3957,1898,1378,1991,133,18,29,21,1904,1653,1381,1277,1450,1037,1219,1743
110002,17150,978,0,0,1,2457,0,0,844,0,0,0,1,4753,0,8116,0
195496,266228,85286,15227,721,14352,2137,433,165,1441,10236,5238,4157,14817,43045,3336,47197,18440
626616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111289,99039,27801,11848,926,6719,333,13,18,6,11497,5165,2516,7059,7974,2507,3663,10994
111561,8914,1858,373,209,705,35,9,25,68,88,32,85,970,1248,352,2421,436
111840,18258,2568,1,0,9,443,3,0,166,0,0,0,173,4529,0,10363,3
111922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112410,30609,3825,361,1167,1014,714,53,87,828,494,609,861,1632,4095,850,6338,7681
112467,707,146,34,1,4,0,0,0,4,295,3,1,70,66,4,22,57
715633,39,9,2,0,1,0,0,0,0,0,0,0,4,9,3,1,10
113690,3998,254,5,12,7,96,0,0,277,7,3,3,132,1500,15,1675,12
196323,2778,5,0,4,0,119,7,0,567,1,2,0,429,298,6,1336,4
114761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114942,11449,1682,39,103,24,1576,7,3,189,5,0,45,298,1840,222,5399,17
114972,17633,4283,1676,2413,549,135,28,30,4,512,220,678,1557,1605,1785,809,1349
115918,123602,39753,17002,1015,12329,17,1,27,0,11185,3996,3185,4765,5293,4051,13127,7856
116093,71,7,0,0,7,0,0,0,0,0,0,4,50,2,0,0,1
116096,64112,24731,9057,19,2752,3,0,3,3,4928,702,343,1960,4917,139,10523,4032
116142,253154,58335,32178,9641,25349,912,212,132,45,22374,12289,6753,19914,18173,9174,17652,20021
116574,21893,4969,3477,1053,1546,23,10,1,4,2420,445,464,3000,857,1440,1388,796
116704,80275,12900,85,624,233,7024,57,10,1104,34,59,101,2776,19327,1344,34220,377
521658,124505,32699,26246,1492,13211,47,4,7,0,20061,1968,2804,4082,5098,2707,642,13437
117019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117526,29770,3988,4,29,59,279,11,2,1037,5,7,23,1172,9666,117,13339,32
